
---------- Begin Simulation Statistics ----------
sim_seconds                               2420.308666                       # Number of seconds simulated
sim_ticks                                2420308666254500                       # Number of ticks simulated
final_tick                               2420308666254500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
host_seconds                                 19821.98                       # Real time elapsed on the host
host_tick_rate                           122102258792                       # Simulator tick rate (ticks/s)
host_mem_usage                                5239508                       # Number of bytes of host memory used
sim_insts                                  2173586170                       # Number of instructions simulated
sim_ops                                    5419977219                       # Number of ops (including micro ops) simulated
host_inst_rate                                 109655                       # Simulator instruction rate (inst/s)
host_op_rate                                   273433                       # Simulator op (including micro ops) rate (op/s)
system.apicbridge.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.clk_domain.clock                          1000                       # Clock period in ticks
system.cpu.numCycles                       8802861504                       # Number of cpu cycles simulated
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed
system.cpu.instsAdded                      5608787055                       # Number of instructions added to the IQ (excludes non-spec)
system.cpu.nonSpecInstsAdded                 23740353                       # Number of non-speculative instructions added to the IQ
system.cpu.instsIssued                     5586039569                       # Number of instructions issued
system.cpu.squashedInstsIssued                2413877                       # Number of squashed instructions issued
system.cpu.squashedInstsExamined            212550159                       # Number of squashed instructions iterated over during squash; mainly for profiling
system.cpu.squashedOperandsExamined         182134729                       # Number of squashed operands that are examined and possibly removed from graph
system.cpu.squashedNonSpecRemoved             7726137                       # Number of squashed non-spec instructions that were removed
system.cpu.numIssuedDist::samples          4163851102                       # Number of insts issued each cycle
system.cpu.numIssuedDist::mean               1.341556                       # Number of insts issued each cycle
system.cpu.numIssuedDist::stdev              1.995950                       # Number of insts issued each cycle
system.cpu.itb_walker_cache.ReadReq_mshr_miss_latency::total   9699626500                       # number of ReadReq MSHR miss cycles
system.cpu.itb_walker_cache.ReadReq_mshr_miss_rate::.cpu.mmu.itb.walker     0.555639                       # mshr miss rate for ReadReq accesses
system.cpu.itb_walker_cache.ReadReq_mshr_miss_rate::total     0.555639                       # mshr miss rate for ReadReq accesses
system.cpu.itb_walker_cache.ReadReq_avg_mshr_miss_latency::.cpu.mmu.itb.walker 61009.312141                       # average ReadReq mshr miss latency
system.cpu.itb_walker_cache.ReadReq_avg_mshr_miss_latency::total 61009.312141                       # average ReadReq mshr miss latency
system.cpu.itb_walker_cache.WriteReq_hits::.cpu.mmu.itb.walker            2                       # number of WriteReq hits
system.cpu.itb_walker_cache.WriteReq_hits::total            2                       # number of WriteReq hits
system.cpu.itb_walker_cache.WriteReq_accesses::.cpu.mmu.itb.walker            2                       # number of WriteReq accesses(hits+misses)
system.cpu.itb_walker_cache.WriteReq_accesses::total            2                       # number of WriteReq accesses(hits+misses)
system.cpu.itb_walker_cache.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.cpu.itb_walker_cache.tags.tagsinuse    15.997081                       # Cycle average of tags in use
system.cpu.itb_walker_cache.tags.total_refs       286134                       # Total number of references to valid blocks.
system.cpu.itb_walker_cache.tags.sampled_refs       158986                       # Sample count of references to valid blocks.
system.cpu.itb_walker_cache.tags.avg_refs     1.799743                       # Average number of references to valid blocks.
system.cpu.itb_walker_cache.tags.warmup_cycle        77000                       # Cycle when the warmup percentage was hit.
system.cpu.itb_walker_cache.tags.occ_blocks::.cpu.mmu.itb.walker    15.997081                       # Average occupied blocks per requestor
system.cpu.itb_walker_cache.tags.occ_percent::.cpu.mmu.itb.walker     0.999818                       # Average percentage of cache occupancy
system.cpu.itb_walker_cache.tags.occ_percent::total     0.999818                       # Average percentage of cache occupancy
system.cpu.itb_walker_cache.tags.occ_task_id_blocks::1024           16                       # Occupied blocks per task id
system.cpu.itb_walker_cache.tags.age_task_id_blocks_1024::4           16                       # Occupied blocks per task id
system.cpu.itb_walker_cache.tags.occ_task_id_percent::1024            1                       # Percentage of cache occupancy per task id
system.cpu.itb_walker_cache.tags.tag_accesses       731254                       # Number of tag accesses
system.cpu.itb_walker_cache.tags.data_accesses       731254                       # Number of data accesses
system.cpu.itb_walker_cache.tags.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.cpu.lsq0.forwLoads                    90618696                       # Number of loads that had data forwarded from stores
system.cpu.lsq0.squashedLoads                28825392                       # Number of loads squashed
system.cpu.lsq0.ignoredResponses                26430                       # Number of memory responses ignored because the instruction is squashed
system.cpu.lsq0.memOrderViolation              171656                       # Number of memory ordering violations
system.cpu.lsq0.squashedStores               20657213                       # Number of stores squashed
system.cpu.lsq0.rescheduledLoads               636214                       # Number of loads that were rescheduled
system.cpu.lsq0.blockedByCache                1022879                       # Number of times an access to memory failed due to the cache being blocked
system.cpu.mmu.dtb.rdAccesses               709376837                       # TLB accesses on read requests
system.cpu.mmu.dtb.wrAccesses               480390387                       # TLB accesses on write requests
system.cpu.mmu.dtb.rdMisses                   2617329                       # TLB misses on read requests
system.cpu.mmu.dtb.wrMisses                    208049                       # TLB misses on write requests
system.cpu.mmu.dtb.walker.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.cpu.mmu.itb.rdAccesses                       0                       # TLB accesses on read requests
system.cpu.mmu.itb.wrAccesses               314214078                       # TLB accesses on write requests
system.cpu.mmu.itb.rdMisses                         0                       # TLB misses on read requests
system.cpu.mmu.itb.wrMisses                     90550                       # TLB misses on write requests
system.cpu.mmu.itb.walker.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.cpu.power_state.numTransitions         1209754                       # Number of power state transitions
system.cpu.power_state.ticksClkGated::samples       604877                       # Distribution of time spent in the clock gated state
system.cpu.power_state.ticksClkGated::mean 3994047612.887414                       # Distribution of time spent in the clock gated state
system.cpu.power_state.ticksClkGated::stdev 14044770.250072                       # Distribution of time spent in the clock gated state
system.cpu.power_state.ticksClkGated::1000-5e+10       604877    100.00%    100.00% # Distribution of time spent in the clock gated state
system.cpu.power_state.ticksClkGated::min_value     47743000                       # Distribution of time spent in the clock gated state
system.cpu.power_state.ticksClkGated::max_value   3997030500                       # Distribution of time spent in the clock gated state
system.cpu.power_state.ticksClkGated::total       604877                       # Distribution of time spent in the clock gated state
system.cpu.power_state.pwrStateResidencyTicks::ON 4401128314000                       # Cumulative time (in ticks) in various power states
system.cpu.power_state.pwrStateResidencyTicks::CLK_GATED 2415907537940500                       # Cumulative time (in ticks) in various power states
system.cpu.rename.squashCycles               17803998                       # Number of cycles rename is squashing
system.cpu.rename.idleCycles               2100418054                       # Number of cycles rename is idle
system.cpu.rename.blockCycles               104626411                       # Number of cycles rename is blocking
system.cpu.rename.serializeStallCycles      519954106                       # count of cycles rename stalledfor serializing inst
system.cpu.rename.runCycles                 888659799                       # Number of cycles rename is running
system.cpu.rename.unblockCycles             532388734                       # Number of cycles rename is unblocking
system.cpu.rename.renamedInsts             5665306334                       # Number of instructions processed by rename
system.cpu.rename.ROBFullEvents               1448888                       # Number of times rename has blocked due to ROB full
system.cpu.rename.IQFullEvents                9827020                       # Number of times rename has blocked due to IQ full
system.cpu.rename.LQFullEvents                4190766                       # Number of times rename has blocked due to LQ full
system.cpu.rename.SQFullEvents              464684867                       # Number of times rename has blocked due to SQ full
system.cpu.rename.fullRegistersEvents              11                       # Number of times there has been no free registers
system.cpu.rename.renamedOperands          5563908562                       # Number of destination operands rename has renamed
system.cpu.rename.lookups                 12969588238                       # Number of register rename lookups that rename has made
system.cpu.rename.intLookups               7606055978                       # Number of integer rename lookups
system.cpu.rename.fpLookups                   1015447                       # Number of floating rename lookups
system.cpu.rename.committedMaps            5325757703                       # Number of HB maps that are committed
system.cpu.rename.undoneMaps                238150823                       # Number of HB maps that are undone due to squashing
system.cpu.rename.serializing                42882137                       # count of serializing insts renamed
system.cpu.rename.tempSerializing            21457764                       # count of temporary serializing insts renamed
system.cpu.rename.skidInsts                 574058762                       # count of insts added to the skid buffer
system.cpu.rob.reads                       9487517639                       # The number of ROB reads
system.cpu.rob.writes                     11274323902                       # The number of ROB writes
system.cpu.thread_0.numInsts               2173586170                       # Number of Instructions committed
system.cpu.thread_0.numOps                 5419977219                       # Number of Ops committed
system.cpu.thread_0.numMemRefs                      0                       # Number of Memory References
system.cpu_clk_domain.clock                       500                       # Clock period in ticks
system.cpu_voltage_domain.voltage                   1                       # Voltage in Volts
system.iobus.trans_dist::ReadReq                47244                       # Transaction distribution
system.iobus.trans_dist::ReadResp               47244                       # Transaction distribution
system.iobus.trans_dist::WriteReq               72675                       # Transaction distribution
system.iobus.trans_dist::WriteResp              72675                       # Transaction distribution
system.iobus.pkt_count_system.bridge.mem_side_port::system.pc.south_bridge.cmos.pio           36                       # Packet count per connected requestor and responder (bytes)
system.iobus.pkt_count_system.bridge.mem_side_port::system.pc.south_bridge.ide.pio         6932                       # Packet count per connected requestor and responder (bytes)
system.iobus.pkt_count_system.bridge.mem_side_port::system.pc.south_bridge.keyboard.pio          302                       # Packet count per connected requestor and responder (bytes)
system.iobus.pkt_count_system.bridge.mem_side_port::system.pc.south_bridge.pic1.pio           56                       # Packet count per connected requestor and responder (bytes)
system.iobus.pkt_count_system.bridge.mem_side_port::system.pc.south_bridge.pic2.pio           50                       # Packet count per connected requestor and responder (bytes)
system.iobus.pkt_count_system.bridge.mem_side_port::system.pc.south_bridge.pit.pio        35242                       # Packet count per connected requestor and responder (bytes)
